Name;Duration;City;Category;Meeting point;Price;teasing1;teasing2;Instruction;Availability;;;;;;
Claude Merkli;23;Lausanne;Artistique;Place Saint Francois;94;vous soufflerez des bulles;vous soufflerez des bulles;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Colore ta vie;35;Lausanne;Artistique;Place Saint Francois;43;Vous redécorerez votre intérieur;Vous redécorerez votre intérieur;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Philippe K;60;Lausanne;Artistique;Place Saint Francois;296;vous sentirez bon;vous sentirez bon;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Kydro;61;Lausanne;Artistique;Place Saint Francois;35;Un remake de ghost :);Un remake de ghost :);Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
The Door Game;91;Lausanne;Divertissante;Place Saint Francois;48;vous ne vous en sortirez jamais;vous ne vous en sortirez jamais;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Parfum d'épices;70;Lausanne;Fun;Place Saint Francois;114;un diner ? Ca dépend !;un diner ? Ca dépend !;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Bodhi Thai Herbal Spa;97;Lausanne;Relaxante;Place Saint Francois;110;ce que la Thailande offre de meilleur;ce que la Thailande offre de meilleur;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
CGN Belle Epoque;88;Lausanne;Romantique;Place Saint Francois;160;bienvenue en 1905;bienvenue en 1906;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Jazz concert;51;Lausanne;Divertissante;Place Saint Francois;103;Ca swiguera ;Ca swiguera ;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Lac souterrain de Saint Leonard;97;Lausanne;Divertissante;Place Saint Francois;196;Après la musique de chambre, la musique de cave;Après la musique de chambre, la musique de cave;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Meal in hot air balloon;37;Lausanne;Fun;Place Saint Francois;294;on vous envoie au 7eme ciel;on vous envoie au 7eme ciel;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Night in amazing property + caterer onsite for dinner and breakfast;69;Lausanne;Romantique;Place Saint Francois;242;Lady for a day, gentleman forever;Lady for a day, gentleman forever;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Orchestre de chambre de Lausanne;99;Lausanne;Divertissante;Place Saint Francois;134;une symphonie;une symphonie;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Star gazing at Lausanne;118;Lausanne;Romantique;Place Saint Francois;41;la tete dans les étoiles;la tete dans les étoiles;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Théâtre La Grange de Dorigny;47;Lausanne;Divertissante;Place Saint Francois;151;to be or not to be;to be or not to be;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
CPO (Centre pluriculturel et social d'ouchy);73;Lausanne;Divertissante;Place Saint Francois;221;showtime !;showtime !;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Helicopter for a dinner at tour de gourze;71;Lausanne;Fun;Place Saint Francois;140;pour les fondus de sensations;pour les fondus de sensations;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Private visit at Aquatis;52;Lausanne;Fun;Place Saint Francois;110;comme un poisson dans l'eau;comme un poisson dans l'eau;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Private yoga session;24;Lausanne;Relaxante;Place Saint Francois;237;bonjour soleil;bonjour soleil;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Bejart Ballet ;64;Lausanne;Concert;Place Saint Francois;154;vous soufflerez des bulles;vous soufflerez des bulles;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;June;;;;;;
La Nuit des Musees de Lausanne et Pully;22;Lausanne;Concert;Place Saint Francois;24;Vous redécorerez votre intérieur;Vous redécorerez votre intérieur;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;21st Sept;;;;;;
Lausanne Underground Film & Music Festival;21;Lausanne;Concert;Place Saint Francois;295;vous sentirez bon;vous sentirez bon;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;October;;;;;;
Botanical gardens;39;Lausanne;Nature;Place Saint Francois;244;Un remake de ghost :);Un remake de ghost :);Quelqu'un vous attend dans l'église, il a un veston gris.;7 days a week, 10-18.30;;;;;;
Fondation de l'Hermitage;64;Lausanne;Culture;Place Saint Francois;154;vous ne vous en sortirez jamais;vous ne vous en sortirez jamais;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;Tues-Sun;;;;;;
Au Couscous - belly dance performance;61;Lausanne;Dance;Place Saint Francois;251;un diner ? Ca dépend !;un diner ? Ca dépend !;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
La Vaudoise;65;Lausanne;Romantique;Place Saint Francois;35;ce que la Thailande offre de meilleur;ce que la Thailande offre de meilleur;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Les faux nez;120;Lausanne;Divertissante;Place Saint Francois;202;bienvenue en 1905;bienvenue en 1906;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Graffiti course;98;Lausanne;Artistique;Place Saint Francois;102;Ca swiguera ;Ca swiguera ;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Pure Fish SPA;50;Lausanne;Relaxante;Place Saint Francois;148;Après la musique de chambre, la musique de cave;Après la musique de chambre, la musique de cave;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
LOFT;21;Lausanne;Artistique;Place Saint Francois;26;on vous envoie au 7eme ciel;on vous envoie au 7eme ciel;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Book a boat;70;Lausanne;Romantique;Place Saint Francois;106;Lady for a day, gentleman forever;Lady for a day, gentleman forever;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Book a boat;24;Lausanne;Sportive;Place Saint Francois;78;une symphonie;une symphonie;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Book a boat;31;Lausanne;Sportive;Place Saint Francois;220;la tete dans les étoiles;la tete dans les étoiles;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Book a boat;115;Lausanne;Sportive;Place Saint Francois;272;to be or not to be;to be or not to be;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Bobiskuit;56;Lausanne;Fun;Place Saint Francois;121;showtime !;showtime !;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
La datcha;27;Geneve;Concert;Place Saint Francois;29;pour les fondus de sensations;pour les fondus de sensations;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Laederach;84;Geneve;Fun;Place Saint Francois;262;comme un poisson dans l'eau;comme un poisson dans l'eau;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
LaSpaSuite;86;Geneve;Relaxante;Place Saint Francois;166;bonjour soleil;bonjour soleil;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Les docks;87;Geneve;Divertissante;Place Saint Francois;297;vous soufflerez des bulles;vous soufflerez des bulles;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Melazic;109;Geneve;Artistique;Place Saint Francois;152;Vous redécorerez votre intérieur;Vous redécorerez votre intérieur;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Oh My cake;30;Geneve;Artistique;Place Saint Francois;77;vous sentirez bon;vous sentirez bon;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
PADDLE-CENTER.CH;114;Geneve;Sport;Place Saint Francois;229;Un remake de ghost :);Un remake de ghost :);dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Pedalino;63;Geneve;Sport;Place Saint Francois;76;vous ne vous en sortirez jamais;vous ne vous en sortirez jamais;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Pedalino;27;Geneve;Sport;Place Saint Francois;189;un diner ? Ca dépend !;un diner ? Ca dépend !;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Ralph Kastl;43;Geneve;Artistique;Place Saint Francois;167;ce que la Thailande offre de meilleur;ce que la Thailande offre de meilleur;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Théâtre de Vidy;84;Geneve;Divertissante;Place Saint Francois;76;bienvenue en 1905;bienvenue en 1906;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Roman ruins & museum - Lausonna;43;Geneve;Museum;Place Saint Francois;186;Après la musique de chambre, la musique de cave;Après la musique de chambre, la musique de cave;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Mi Bar (Chinatown);25;Geneve;Cooking class;Place Saint Francois;220;on vous envoie au 7eme ciel;on vous envoie au 7eme ciel;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Galerie HEHE;57;Geneve;Artistique;Place Saint Francois;153;Lady for a day, gentleman forever;Lady for a day, gentleman forever;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Lausanne Photo Studio;74;Geneve;Fun;Place Saint Francois;77;une symphonie;une symphonie;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
K's Fashion studio Lausanne;80;Geneve;Relaxante;Place Saint Francois;63;la tete dans les étoiles;la tete dans les étoiles;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Method Meryem;75;Geneve;Relaxante;Place Saint Francois;69;to be or not to be;to be or not to be;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Escrime beaulieu;89;Geneve;Sport;Place Saint Francois;197;showtime !;showtime !;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Deekay;55;Morges;Dance;Place Saint Francois;244;pour les fondus de sensations;pour les fondus de sensations;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Alia Salsa School;44;Renens;Dance;Place Saint Francois;250;comme un poisson dans l'eau;comme un poisson dans l'eau;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Espace beauté Eau Marine;22;Morges;Relaxante;Place Saint Francois;282;bonjour soleil;bonjour soleil;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
Plouf plongée;86;Morges;Sport;Place Saint Francois;44;une symphonie;une symphonie;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
Deep Turtle;39;Pully;Sport;Place Saint Francois;29;la tete dans les étoiles;la tete dans les étoiles;Entrez dans la limousine Tesla grise. Le chauffeur a un képi.;;;;;;;
Grimper.ch;54;Pully;Sport;Place Saint Francois;127;to be or not to be;to be or not to be;Entrez dans le premier bar en sortant à gauche. Demandez un parapluie.;;;;;;;
Maui diving centre;45;Echandens;Sport;Place Saint Francois;227;showtime !;showtime !;Dirigez vous vers les portes saint francois et cherchez l'ensigne contenant le mot bulle;;;;;;;
Dance2gether;100;Crissier;Dance;Place Saint Francois;157;pour les fondus de sensations;pour les fondus de sensations;dirigez vous vers la rue de bourg et cherchez la façade bleu à l'enseigne dorée;;;;;;;
institut Maryligne;92;Lausanne;Relaxante;Place Saint Francois;80;comme un poisson dans l'eau;comme un poisson dans l'eau;Quelqu'un vous attend dans l'église, il a un veston gris.;;;;;;;
